"pool_size","duration","p99_ms","repeat","sellout_sec","p50_ms","db_active","excess_reservations","http_reqs","duplicated_seats","run_id","vus","sweep","strategy","pool_timeouts","kind","seat_count","label","error_rate","usage_ms","tps_spread_pct","check_ok_rate","tps","db_cpu_pct","sold_seats","max_ms","db_conns","acquire_ms","p95_ms","value"
"20","15s","55.8","2","0.853","20.95","1.1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.657","","0.6667","6198.5","73.7","500","151.29","21","18.898","39.83","20"
"20","15s","53.92","3","0.528","20.63","1.9","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","1.627","","0.6667","6269.6","77","500","149.06","21","18.653","39.12","20"
"20","15s","55.54","0","0.528","20.71","1.3","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","1.647","1.1","","6215.9","77","","","21","18.834","39.37","20"
"30","15s","54.16","1","0.656","20.18","1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","2.709","","0.6667","6291.8","81.6","500","120.99","31","17.31","37.77","30"
"30","15s","50.61","2","0.498","19.97","1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","2.607","","0.6667","6439.5","89.5","500","128.22","31","16.772","37.63","30"
"30","15s","51.58","3","0.524","19.34","1.1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","2.522","","0.6667","6224","86.2","500","159.07","31","16.317","36.39","30"
"30","15s","51.58","0","0.524","19.97","1","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","2.607","3.4","","6291.8","86.2","","","31","16.772","37.63","30"
"50","15s","50.23","1","0.877","19.89","1.3","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","4.844","","0.6667","6299","85.3","500","150.65","51","14.901","36.13","50"
"50","15s","47.57","2","0.52","18.8","1.5","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","4.479","","0.6667","6223.9","83.3","500","126.31","52","14.003","34.6","50"
"50","15s","46.69","3","0.569","18.86","1.3","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","4.41","","0.6667","6255.1","97.1","500","139.33","51","13.838","33.9","50"
"50","15s","47.57","0","0.569","18.86","1.3","0","","","20260907-202637","200","DB_POOL_SIZE","atomic","","median","1000","풀크기-2코어","","4.479","1.2","","6255.1","85.3","","","51","14.003","34.6","50"
"70","15s","49.35","1","0.605","19.79","1","0","100004","0","20260907-202637","200","DB_POOL_SIZE","atomic","0","run","1000","풀크기-2코어","0","6.901","","0.6667","6353.5","86.2","500","139.62","71","12.651","35.25","70"
