"max_ms","sellout_sec","tps","strategy","p95_ms","seat_count","value","p99_ms","repeat","http_reqs","label","p50_ms","kind","error_rate","duplicated_seats","sold_seats","tps_spread_pct","pool_size","check_ok_rate","run_id","duration","sweep","vus","excess_reservations"
"135.41","0.295","2489.9","atomic","47.07","200","200","63.22","2","40004","경합강도","28.29","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"113.18","0.245","2504.8","atomic","39.5","200","200","59.42","3","40004","경합강도","28.39","run","0","0","200","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.26","2489.9","atomic","46.56","200","200","63.22","0","","경합강도","28.39","median","","","","0.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"176.98","0.786","6294.1","atomic","45.16","500","500","61.45","1","100004","경합강도","28.29","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"193.16","0.721","6358","atomic","43.66","500","500","58.99","2","100004","경합강도","28.16","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"172.98","0.7","6322","atomic","37.44","500","500","59.24","3","100004","경합강도","28.65","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.721","6322","atomic","43.66","500","500","59.24","0","","경합강도","28.29","median","","","","1","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"244.58","0.855","6329","atomic","44.99","1000","1000","61.78","1","100004","경합강도","28.13","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"154.45","0.867","6299.6","atomic","45.84","1000","1000","59.98","2","100004","경합강도","28.42","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"154.69","0.736","6310.9","atomic","39.13","1000","1000","59.21","3","100004","경합강도","28.6","run","0","0","500","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0.855","6310.9","atomic","44.99","1000","1000","59.98","0","","경합강도","28.42","median","","","","0.5","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"679.36","0","12.9","redis","656.77","1","1","671.72","1","204","경합강도","371.92","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"545.97","0","13","redis","524.92","1","1","541.82","2","204","경합강도","284.26","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"564.72","0","13","redis","529.91","1","1","543.57","3","204","경합강도","317.08","run","0","0","1","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
"","0","13","redis","529.91","1","1","543.57","0","","경합강도","317.08","median","","","","0.8","10","","20260907-162643","15s","SEAT_COUNT","200","0"
"592.36","0","25.5","redis","535.82","2","2","572.69","1","404","경합강도","251.41","run","0","0","2","","10","0.6667","20260907-162643","15s","SEAT_COUNT","200","0"
